,Item Name,Sales,Avg Price,Total Transactions
112,"Tranquility, Razor of Black Magic",2.0,2.0,1
126,Piece Maker,2.94,2.94,1
115,Suspension,3.58,3.58,1
55,Blood-Forged Skeletal Spine,3.3,3.3,1
127,Restored Bauble,4.5,4.5,1
47,"Thorn, Conqueror of the Corrupted",1.75,1.75,1
130,Relentless Iron Skewer,4.66,4.66,1
90,Orenmir,2.17,2.17,1
177,"Warmonger, Gift of Suffering's End",1.93,1.93,1
104,Brutality Ivory Warmace,4.17,4.17,1
